"Power station","# Units","Net Capacity (MWe)","Country","Location","Refs"
"Almaraz","2","2,017","Spain","39°48′29″N 05°41′49″W﻿ / ﻿39.80806°N 5.69694°W﻿ / 39.80806; -5.69694﻿ (Almaraz Nuclear Power Station)",""
"Angra","2","1,889[note 1]","Brazil","23°00′30″S 44°28′26″W﻿ / ﻿23.00833°S 44.47389°W﻿ / -23.00833; -44.47389﻿ (Angra Nuclear Power Station)",""
"Arkansas Nuclear One","2","1,839","United States","35°18′37″N 93°13′53″W﻿ / ﻿35.31028°N 93.23139°W﻿ / 35.31028; -93.23139﻿ (Arkansas Nuclear One)",""
"Ascó","2","1,992","Spain","41°12′00″N 00°34′10″E﻿ / ﻿41.20000°N 0.56944°E﻿ / 41.20000; 0.56944﻿ (Ascó Nuclear Power Station)",""
"Atucha","2","1,027","Argentina","33°58′3″S 59°12′18″W﻿ / ﻿33.96750°S 59.20500°W﻿ / -33.96750; -59.20500﻿ (Atucha Nuclear Power Station)",""
"Balakovo","4","3,800","Russia","52°05′28″N 47°57′19″E﻿ / ﻿52.09111°N 47.95528°E﻿ / 52.09111; 47.95528﻿ (Balakovo Nuclear Power Station)",""
"Beaver Valley","2","1,738","United States","40°37′24″N 80°25′50″W﻿ / ﻿40.62333°N 80.43056°W﻿ / 40.62333; -80.43056﻿ (Beaver Valley Nuclear Power Station)",""
"Belleville","2","2,620","France","47°30′35″N 02°52′30″E﻿ / ﻿47.50972°N 2.87500°E﻿ / 47.50972; 2.87500﻿ (Belleville Nuclear Power Plant)","[1]"
"Beloyarsk Nuclear Power Station","4","1,597","Russia","56°50′30″N 61°19′21″E﻿ / ﻿56.84167°N 61.32250°E﻿ / 56.84167; 61.32250﻿ (Beloyarsk Nuclear Power Station)",""
"Blayais","4","3,640","France","45°15′21″N 00°41′35″E﻿ / ﻿45.25583°N 0.69306°E﻿ / 45.25583; 0.69306﻿ (Blayais Nuclear Power Plant)",""
"Braidwood Nuclear Generating Station","2","2,330","United States","41°14′37″N 88°13′45″W﻿ / ﻿41.24361°N 88.22917°W﻿ / 41.24361; -88.22917﻿ (Braidwood Nuclear Power Station)",""
"Brokdorf","1","1,410","Germany","53°51′03″N 09°20′41″E﻿ / ﻿53.85083°N 9.34472°E﻿ / 53.85083; 9.34472﻿ (Brokdorf Nuclear Power Station)",""
"Browns Ferry","3","3,300","United States","34°42′14″N 87°07′07″W﻿ / ﻿34.70389°N 87.11861°W﻿ / 34.70389; -87.11861﻿ (Browns Ferry Nuclear Power Station)",""
"Bruce","8","6,232","Canada","44°42′14″N 81°35′58″W﻿ / ﻿44.70389°N 81.59944°W﻿ / 44.70389; -81.59944﻿ (Bruce Nuclear Generating Station)",""
"Brunswick","2","1,858","United States","33°57′30″N 78°0′37″W﻿ / ﻿33.95833°N 78.01028°W﻿ / 33.95833; -78.01028﻿ (Brunswick Nuclear Generating Station)",""
"Bugey Nuclear Power Plant","4","3,580[note 2]","France","45°19′31″N 05°16′15″E﻿ / ﻿45.32528°N 5.27083°E﻿ / 45.32528; 5.27083﻿ (Bugey Nuclear Power Station)",""
"Byron Nuclear Generating Station","2","2,300","United States","42°4′27″N 89°16′55″W﻿ / ﻿42.07417°N 89.28194°W﻿ / 42.07417; -89.28194﻿ (Byron Nuclear Generating Station)",""
"Callaway Plant","1","1,190","United States","38°45′42″N 91°46′48″W﻿ / ﻿38.76167°N 91.78000°W﻿ / 38.76167; -91.78000﻿ (Callaway Plant)",""
"Calvert Cliffs Nuclear Power Plant","2","1,735","United States","38°25′55″N 76°26′32″W﻿ / ﻿38.43194°N 76.44222°W﻿ / 38.43194; -76.44222﻿ (Calvert Cliffs Nuclear Power Station)",""
"Catawba Nuclear Station","2","2,258","United States","35°3′6″N 81°4′12″W﻿ / ﻿35.05167°N 81.07000°W﻿ / 35.05167; -81.07000﻿ (Catawba Nuclear Station)",""
"Cattenom Nuclear Power Plant","4","5,200","France","49°24′57″N 06°13′05″E﻿ / ﻿49.41583°N 6.21806°E﻿ / 49.41583; 6.21806﻿ (Cattenom Nuclear Power Station)",""
"Cernavodă Nuclear Power Plant","2","1,300","Romania","44°19′20″N 28°03′26″E﻿ / ﻿44.32222°N 28.05722°E﻿ / 44.32222; 28.05722﻿ (Cernavoda Nuclear Power Station)",""
"Chinon Nuclear Power Plant","4","3,620[note 3]","France","47°13′50″N 00°10′14″E﻿ / ﻿47.23056°N 0.17056°E﻿ / 47.23056; 0.17056﻿ (Chinon Nuclear Power Station)",""
"Chin Shan Nuclear Power Plant","2","1,208","Taiwan","25°17′29″N 121°34′4″E﻿ / ﻿25.29139°N 121.56778°E﻿ / 25.29139; 121.56778﻿ (Chin Shan Nuclear Power Plant)",""
"Chooz Nuclear Power Plant","2","3,000[note 4]","France","50°05′24″N 04°47′22″E﻿ / ﻿50.09000°N 4.78944°E﻿ / 50.09000; 4.78944﻿ (Chooz Nuclear Power Station)",""
"Civaux Nuclear Power Plant","2","2,990","France","46°27′24″N 00°39′10″E﻿ / ﻿46.45667°N 0.65278°E﻿ / 46.45667; 0.65278﻿ (Civaux Nuclear Power Station)",""
"Clinton Nuclear Generating Station","1","1,043","United States","40°10′20″N 88°50′06″W﻿ / ﻿40.17222°N 88.83500°W﻿ / 40.17222; -88.83500﻿ (Clinton Nuclear Generating Station)",""
"Cofrentes Nuclear Power Plant","1","1,064","Spain","39°13′00″N 01°03′00″W﻿ / ﻿39.21667°N 1.05000°W﻿ / 39.21667; -1.05000﻿ (Cofrentes Nuclear Power Station)",""
"Columbia Generating Station","1","1,131","United States","46°28′16″N 119°20′02″W﻿ / ﻿46.47111°N 119.33389°W﻿ / 46.47111; -119.33389﻿ (Columbia Nuclear Power Station)",""
"Comanche Peak Nuclear Generating Station","2","2,367","United States","32°17′54″N 97°47′06″W﻿ / ﻿32.29833°N 97.78500°W﻿ / 32.29833; -97.78500﻿ (Comanche Peak Nuclear Power Station)",""
"Cruas Nuclear Power Plant","4","3,660","France","44°37′59″N 04°45′24″E﻿ / ﻿44.63306°N 4.75667°E﻿ / 44.63306; 4.75667﻿ (Cruas Nuclear Power Station)",""
"Dampierre Nuclear Power Plant","4","3,560","France","47°43′59″N 02°31′00″E﻿ / ﻿47.73306°N 2.51667°E﻿ / 47.73306; 2.51667﻿ (Dampierre Nuclear Power Plant)",""
"Darlington Nuclear Generating Station","4","3,512","Canada","43°52′22″N 78°43′11″W﻿ / ﻿43.87278°N 78.71972°W﻿ / 43.87278; -78.71972﻿ (Darlington Nuclear Power Station)",""
"Daya Bay Nuclear Power Plant","2","1,888","China","22°35′52″N 114°32′37″E﻿ / ﻿22.59778°N 114.54361°E﻿ / 22.59778; 114.54361﻿ (Daya Bay Nuclear Power Plant)",""
"Diablo Canyon Power Plant","2","2,240","United States","35°12′39″N 120°51′22″W﻿ / ﻿35.21083°N 120.85611°W﻿ / 35.21083; -120.85611﻿ (Diablo Canyon Power Station)",""
