AGESTA,1957,1964,agesta,2016-03-07T15:25:48Z,Permanent Shutdown,10,1964-05-01,1963-07-17,PHWR,12,1957-12-01,,Barsebäck Kraft AB,10,59.206,18.0829,Sweden,Barsebäck Kraft AB,1964-05-01,,Barsebäck Kraft AB,80,,9,Agesta,
AKADEMIK LOMONOSOV-1,2007,,akademik lomonosov 1,2016-03-07T15:25:48Z,Under Construction,32,,,PWR,38,2007-04-15,,Joint Stock Company 'Concern Rosenergoatom',32,59.9191,30.2611,Russia,Joint Stock Company 'Concern Rosenergoatom',,KLT-40S 'Floating',Joint Stock Company 'Concern Rosenergoatom',150,,32,Akademik Lomonosov 1,
AKADEMIK LOMONOSOV-2,2007,,akademik lomonosov 2,2016-03-07T15:25:48Z,Under Construction,32,,,PWR,38,2007-04-15,,Joint Stock Company 'Concern Rosenergoatom',32,59.9185,30.2611,Russia,Joint Stock Company 'Concern Rosenergoatom',,KLT-40S 'Floating',Joint Stock Company 'Concern Rosenergoatom',150,,32,Akademik Lomonosov 2,
AKTAU,1964,1973,aktau,2016-03-07T15:25:48Z,Permanent Shutdown,52,1973-07-16,1972-11-01,FBR,90,1964-10-01,,Joint Stock Company "National Atomic Company Kazatomprom",52,43.607,51.283,Kazakhstan,Mangishlak Atomic Energy Complex-Kazatomprom,Limited Liability Company,1973-07-16,BN-350,Mangishlak Atomic Energy Complex-Kazatomprom,Limited Liability Company,1000,Also known as Shevchenko,135,Aktau,
ALMARAZ-1,1973,1981,almaraz 1,2016-03-07T15:25:49Z,Operable,1011,1981-05-01,1981-04-05,PWR,1049,1973-07-03,,Iberdrola, Endesa, Gas Natural,1011,39.8074,-5.69769,Spain,Centrales Nucleares  Almaraz-Trillo(Id/Ufg/Endesa/Hc/Nuclenor ),1983-09-01,W (3-loop),Centrales Nucleares  Almaraz-Trillo(Id/Ufg/Endesa/Hc/Nuclenor ),2947,,900,Almaraz 1,
ALMARAZ-2,1973,1983,almaraz 2,2016-03-07T15:25:49Z,Operable,1006,1983-10-08,1983-09-19,PWR,1044,1973-07-03,,Iberdrola, Endesa, Gas Natural,1006,39.8074,-5.69669,Spain,Centrales Nucleares  Almaraz-Trillo(Id/Ufg/Endesa/Hc/Nuclenor ),1984-07-01,W (3-loop),Centrales Nucleares  Almaraz-Trillo(Id/Ufg/Endesa/Hc/Nuclenor ),2947,,930,Almaraz 2,
ANGRA-1,1971,1982,angra 1,2016-03-07T15:25:49Z,Operable,609,1982-04-01,1982-03-13,PWR,640,1971-05-01,,Eletrobras Eletronuclear S.A.,609,-23.008,-44.4567,Brazil,Eletrobras Eletronuclear S.A.,1985-01-01,2-loop WE,Eletrobras Eletronuclear S.A.,1882,,626,Angra 1,
ANGRA-2,1976,2000,angra 2,2016-03-07T15:25:49Z,Operable,1275,2000-07-21,2000-07-14,PWR,1350,1976-01-01,,Eletrobras Eletronuclear S.A.,1275,-23.0065,-44.4578,Brazil,Eletrobras Eletronuclear S.A.,2001-02-01,PRE KONVOI,Eletrobras Eletronuclear S.A.,3764,,1245,Angra 2,
ANGRA-3,2010,,angra 3,2016-03-07T15:25:49Z,Under Construction,1245,,,PWR,1350,2010-06-01,,Eletrobras Eletronuclear S.A.,1245,-23.0099,-44.47,Brazil,Eletrobras Eletronuclear S.A.,,PRE KONVOI,Eletrobras Eletronuclear S.A.,3765,,1245,Angra 3,
ANO-1,1968,1974,ano 1,2016-03-07T15:25:49Z,Operable,836,1974-08-17,1974-08-06,PWR,903,1968-10-01,,Entergy Arkansas Inc.,836,35.3103,-93.2296,United States Of America,Entergy Nuclear Operations, Inc.,1974-12-19,B&W; (L-loop) DRYAMB,Entergy Nuclear Operations, Inc.,2568,Also known as Arkansas Nuclear One, Unit 1,850,Ano 1,
ANO-2,1968,1978,ano 2,2016-03-07T15:25:49Z,Operable,993,1978-12-26,1978-12-05,PWR,1065,1968-12-06,,Entergy Arkansas Inc.,993,35.3103,-93.2286,United States Of America,Entergy Nuclear Operations, Inc.,1980-03-26,CE (2-loop) DRYAMB,Entergy Nuclear Operations, Inc.,3026,Also known as Arkansas Nuclear One, Unit 2,912,Ano 2,
APS-1 OBNINSK,1951,1954,aps 1 obninsk,2016-03-07T15:25:49Z,Permanent Shutdown,5,1954-06-27,1954-05-06,LWGR,6,1951-01-01,Minsredmash,Ministry Of Medium Machine Building Of The Ussr,5,55.0839,36.5704,Russia,Ministry Of Medium Machine Building Of The Ussr (Minsredmash),1954-12-01,AM-1,Ministry Of Medium Machine Building Of The Ussr (Minsredmash),30,Also known as Atomic Power Station 1 Obninsk,5,Aps 1 Obninsk,
ARMENIAN-1,1969,1976,armenian 1,2016-03-07T15:25:49Z,Permanent Shutdown,376,1976-12-22,1976-12-15,PWR,408,1969-07-01,,Ministry Of Energy And Natural Resources Of Armenia,376,40.1818,44.1472,Armenia,Closed Joint Stock Company Armenian Npp,1977-10-06,VVER V-270,Closed Joint Stock Company Armenian Npp,1375,,376,Armenian 1,
ARMENIAN-2,1975,1980,armenian 2,2016-03-07T15:25:49Z,Operable,375,1980-01-05,1980-01-01,PWR,408,1975-07-01,,Ministry Of Energy And Natural Resources Of Armenia,375,40.1813,44.1472,Armenia,Closed Joint Stock Company Armenian Npp,1980-05-03,VVER V-270,Closed Joint Stock Company Armenian Npp,1375,,375,Armenian 2,
ASCO-1,1974,1983,asco 1,2016-03-07T15:25:50Z,Operable,995,1983-08-13,1983-06-16,PWR,1033,1974-05-16,,Endesa, S.A.,995,41.2016,0.571359,Spain,Asociacion Nuclear Asco-Vandellos A.I.E. (Endesa/Id),1984-12-10,W (3-loop),Asociacion Nuclear Asco-Vandellos A.I.E. (Endesa/Id),2954,,888,Asco 1,
ASCO-2,1975,1985,asco 2,2016-03-07T15:25:50Z,Operable,997,1985-10-23,1985-09-11,PWR,1035,1975-03-07,,Endesa, Iberdrola,997,41.2016,0.572359,Spain,Asociacion Nuclear Asco-Vandellos A.I.E. (Endesa/Id),1986-03-31,W (3-loop),Asociacion Nuclear Asco-Vandellos A.I.E. (Endesa/Id),2941,,888,Asco 2,
ATUCHA-1,1968,1974,atucha 1,2016-03-07T15:25:50Z,Operable,335,1974-03-19,1974-01-13,PHWR,357,1968-06-01,,Nucleoelectrica Argentina S.A.,335,-33.9669,-59.2086,Argentina,Nucleoelectrica Argentina S.A.,1974-06-24,PHWR KWU,Nucleoelectrica Argentina S.A.,1179,,319,Atucha 1,
ATUCHA-2,1981,2014,atucha 2,2016-03-07T15:25:50Z,Operable,692,2014-06-27,2014-06-03,PHWR,745,1981-07-14,,Nucleoelectrica Argentina S.A.,692,-33.9673,-59.2033,Argentina,Nucleoelectrica Argentina S.A.,,PHWR KWU,Nucleoelectrica Argentina S.A.,2160,,692,Atucha 2,
